domain,url,risk_score,category,type,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,ip_address,country,timestamp
"jetbank.se","https://jetbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-29T08:03:25.247Z"
"intelliors.ee","https://intelliors.ee",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-06-29T08:03:41.756Z"
"aiaccounting.ee","https://aiaccounting.ee",3,"blacklist_match","blacklist_match","","account",0,0,"false","","","2025-06-29T08:03:58.483Z"
"verksamhetsintelligens.se","https://verksamhetsintelligens.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-06-29T08:04:15.445Z"
"devisafe.se","https://devisafe.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-06-29T08:04:31.970Z"
"guldauth.se","https://guldauth.se",3,"blacklist_match","blacklist_match","","auth",0,0,"false","","","2025-06-29T08:04:48.564Z"
"cryptomark.se","https://cryptomark.se",3,"blacklist_match","blacklist_match","","crypto",0,0,"false","","","2025-06-29T08:05:05.001Z"
"callunaminingsolutions.se","https://callunaminingsolutions.se",3,"blacklist_match","blacklist_match","","mining",0,0,"false","","","2025-06-29T08:05:21.748Z"
"liabanken.se","https://liabanken.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-29T08:05:38.349Z"
"festoolsawstopbordssagtks80.se","https://festoolsawstopbordssagtks80.se",5,"medium_risk","enterprise_target","aws","",0,0,"false","","","2025-06-29T08:05:55.049Z"
"cosmeta.se","https://cosmeta.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-06-29T08:06:11.771Z"
"ns1.casinomedpaypal.se","https://ns1.casinomedpaypal.se",5,"medium_risk","enterprise_target","paypal","",0,0,"false","","","2025-06-29T08:06:28.569Z"
"swedenbitcoin.se","https://swedenbitcoin.se",3,"blacklist_match","blacklist_match","","bitcoin",0,0,"false","","","2025-06-29T08:06:45.026Z"
"ns1.casinoapplepay.se","https://ns1.casinoapplepay.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-06-29T08:07:01.569Z"
"paypalworld.ee","https://paypalworld.ee",5,"medium_risk","enterprise_target","paypal","",0,0,"false","","","2025-06-29T08:07:19.184Z"
"accountingagent.se","https://accountingagent.se",3,"blacklist_match","blacklist_match","","account",0,0,"false","","","2025-06-29T08:07:35.786Z"
"metallprodukt.sk","https://metallprodukt.sk",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-06-29T08:07:52.615Z"
"aaccountconsultab.se","https://aaccountconsultab.se",3,"blacklist_match","blacklist_match","","account",0,0,"false","","","2025-06-29T08:08:09.207Z"
"bill-xfinty-securenexus.se","https://bill-xfinty-securenexus.se",3,"blacklist_match","blacklist_match","","secure",0,0,"false","","","2025-06-29T08:08:25.578Z"
"armorwallet.se","https://armorwallet.se",3,"blacklist_match","blacklist_match","","wallet",0,0,"false","","","2025-06-29T08:08:41.956Z"
"visareserv.nu","https://visareserv.nu",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-06-29T08:08:58.319Z"
"soderhamnsmetallatervinning.se","https://soderhamnsmetallatervinning.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-06-29T08:09:15.090Z"
"applee.ee","https://applee.ee",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-06-29T08:09:31.717Z"
"superiorbank.se","https://superiorbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-29T08:09:48.138Z"
"ns1.casinomedvisakort.se","https://ns1.casinomedvisakort.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-06-29T08:10:04.733Z"
"ns2.casinoapplepay.se","https://ns2.casinoapplepay.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-06-29T08:10:21.199Z"
"atlasbank.se","https://atlasbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-29T08:10:37.648Z"
"applemax.sk","https://applemax.sk",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-06-29T08:10:54.438Z"
"ns1.applepaycasino.se","https://ns1.applepaycasino.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-06-29T08:11:10.808Z"
"casinomedvisakort.se","https://casinomedvisakort.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-06-29T08:11:27.521Z"
"ns2.casinomedpaypal.se","https://ns2.casinomedpaypal.se",5,"medium_risk","enterprise_target","paypal","",0,0,"false","","","2025-06-29T08:11:44.548Z"
"instantbankingcasino.se","https://instantbankingcasino.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-29T08:12:01.034Z"
"nordiskametallindustri.se","https://nordiskametallindustri.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-06-29T08:12:17.796Z"
"octaveintelligence.ee","https://octaveintelligence.ee",7,"confirmed_threat","enterprise_target","intel","",1,0,"false","","","2025-06-29T08:12:34.239Z"
"inteligentne-systemy.sk","https://inteligentne-systemy.sk",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-06-29T08:12:50.555Z"
"weaccounting.se","https://weaccounting.se",3,"blacklist_match","blacklist_match","","account",0,0,"false","","","2025-06-29T08:13:07.403Z"
"pawsinmotion.se","https://pawsinmotion.se",5,"medium_risk","enterprise_target","aws","",0,0,"false","","","2025-06-29T08:13:23.812Z"
"visualaccounting.se","https://visualaccounting.se",3,"blacklist_match","blacklist_match","","account",0,0,"false","","","2025-06-29T08:13:40.690Z"
"esdesigninterior.se","https://esdesigninterior.se",3,"blacklist_match","blacklist_match","","signin",0,0,"false","","","2025-06-29T08:13:57.154Z"
"octaveintelligence.se","https://octaveintelligence.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-06-29T08:14:13.550Z"
"chasen.sk","https://chasen.sk",5,"medium_risk","enterprise_target","chase","",0,0,"false","","","2025-06-29T08:14:29.966Z"
"teslarobotaxi.nu","https://teslarobotaxi.nu",5,"medium_risk","enterprise_target","tesla","",0,0,"false","","","2025-06-29T08:14:46.788Z"
"liabank.se","https://liabank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-29T08:15:03.270Z"
"octave-intelligence.ee","https://octave-intelligence.ee",7,"confirmed_threat","enterprise_target","intel","",1,0,"false","","","2025-06-29T08:15:20.313Z"
"nordpantbank.se","https://nordpantbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-29T08:15:36.667Z"
"bankuppropet.se","https://bankuppropet.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-29T08:15:53.887Z"
"securest.se","https://securest.se",3,"blacklist_match","blacklist_match","","secure",0,0,"false","","","2025-06-29T08:16:10.332Z"
"xn--superorbank-scb.se","https://xn--superorbank-scb.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-29T08:16:27.227Z"
"accountbuddy.se","https://accountbuddy.se",3,"blacklist_match","blacklist_match","","account",0,0,"false","","","2025-06-29T08:16:43.626Z"
"duopaws.se","https://duopaws.se",5,"medium_risk","enterprise_target","aws","",0,0,"false","","","2025-06-29T08:16:59.975Z"
"salusbanken.se","https://salusbanken.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-29T08:17:16.666Z"
"smartaccount.se","https://smartaccount.se",3,"blacklist_match","blacklist_match","","account",0,0,"false","","","2025-06-29T08:17:33.093Z"
"psykologinbakom.se","https://psykologinbakom.se",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-06-29T08:17:49.605Z"
"casinoinstantbanking.se","https://casinoinstantbanking.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-29T08:18:06.041Z"
"casinomedpaypal.se","https://casinomedpaypal.se",6,"medium_risk","enterprise_target","paypal","",0,1,"false","","","2025-06-29T08:18:22.470Z"
"nordiskametall.se","https://nordiskametall.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-06-29T08:18:38.885Z"
"001betlogin.com","https://001betlogin.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-06-29T08:18:55.559Z"
"001win-login.com","https://001win-login.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-06-29T08:19:12.020Z"
"006bet-login.com","https://006bet-login.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-06-29T08:19:28.453Z"
"007game-login.com","https://007game-login.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-06-29T08:19:45.016Z"
"007gamelogin.com","https://007gamelogin.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-06-29T08:20:01.444Z"
"0088betlogin.com","https://0088betlogin.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-06-29T08:20:17.886Z"
"011-stripe.com","https://011-stripe.com",5,"medium_risk","enterprise_target","stripe","",0,0,"false","","","2025-06-29T08:20:34.274Z"
"0110bitcoin.xyz","https://0110bitcoin.xyz",6,"medium_risk","blacklist_match","","bitcoin",0,3,"false","","","2025-06-29T08:20:50.676Z"
"0110wallet.xyz","https://0110wallet.xyz",3,"blacklist_match","blacklist_match","","wallet",0,0,"false","","","2025-06-29T08:21:07.071Z"
"012-stripe.com","https://012-stripe.com",5,"medium_risk","enterprise_target","stripe","",0,0,"false","","","2025-06-29T08:21:23.480Z"
"013-stripe.com","https://013-stripe.com",5,"medium_risk","enterprise_target","stripe","",0,0,"false","","","2025-06-29T08:21:40.375Z"
"014-stripe.com","https://014-stripe.com",5,"medium_risk","enterprise_target","stripe","",0,0,"false","","","2025-06-29T08:21:57.101Z"
"015-stripe.com","https://015-stripe.com",5,"medium_risk","enterprise_target","stripe","",0,0,"false","","","2025-06-29T08:22:13.547Z"
"01athleteintelligence.com","https://01athleteintelligence.com",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-06-29T08:22:30.036Z"
"01bet-login.com","https://01bet-login.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-06-29T08:22:46.634Z"
"02bet-login.com","https://02bet-login.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-06-29T08:23:03.264Z"
"02crypto.xyz","https://02crypto.xyz",5,"medium_risk","blacklist_match","","crypto",0,2,"false","","","2025-06-29T08:23:19.689Z"
"050betlogin.com","https://050betlogin.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-06-29T08:23:36.123Z"
"06-2024-q35ibm9u1u.com","https://06-2024-q35ibm9u1u.com",7,"confirmed_threat","enterprise_target","ibm","",1,0,"false","","","2025-06-29T08:23:52.509Z"
"09betlogin.com","https://09betlogin.com",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-06-29T08:24:09.146Z"
"0bank.xyz","https://0bank.xyz",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-06-29T08:24:25.531Z"
"0bitcoin.xyz","https://0bitcoin.xyz",7,"medium_risk","blacklist_match","","bitcoin",0,4,"false","","","2025-06-29T08:24:41.901Z"
"0coinbasewallet.xyz","https://0coinbasewallet.xyz",7,"medium_risk","blacklist_match","","wallet",0,4,"false","","","2025-06-29T08:24:58.677Z"
