domain,url,risk_score,category,type,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,ip_address,country,timestamp
"y2meta.nu","https://y2meta.nu",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-10T13:17:03.314Z"
"vykupbankoviek.sk","https://vykupbankoviek.sk",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-10T13:17:19.913Z"
"kallebanka.se","https://kallebanka.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-10T13:17:36.267Z"
"visareserv.nu","https://visareserv.nu",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-07-10T13:17:52.546Z"
"pawsinmotion.se","https://pawsinmotion.se",5,"medium_risk","enterprise_target","aws","",0,0,"false","","","2025-07-10T13:18:08.787Z"
"ns2.casinomedapplepay.se","https://ns2.casinomedapplepay.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-07-10T13:18:25.042Z"
"metaverseai.se","https://metaverseai.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-10T13:18:41.344Z"
"jpmorganpersonalinvesting.se","https://jpmorganpersonalinvesting.se",5,"medium_risk","enterprise_target","jpmorgan","",0,0,"false","","","2025-07-10T13:18:57.660Z"
"teslaproducts.se","https://teslaproducts.se",5,"medium_risk","enterprise_target","tesla","",0,0,"false","","","2025-07-10T13:19:13.938Z"
"psykologinbakom.nu","https://psykologinbakom.nu",3,"blacklist_match","blacklist_match","","login",0,0,"false","","","2025-07-10T13:19:30.241Z"
"jpmorganpersonalinvesting.sk","https://jpmorganpersonalinvesting.sk",5,"medium_risk","enterprise_target","jpmorgan","",0,0,"false","","","2025-07-10T13:19:46.563Z"
"chasen.sk","https://chasen.sk",5,"medium_risk","enterprise_target","chase","",0,0,"false","","","2025-07-10T13:20:02.832Z"
"junebank.se","https://junebank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-10T13:20:19.111Z"
