domain,url,risk_score,category,type,brand,keywords,vt_malicious,vt_suspicious,urlscan_overall_malicious,urlscan_engines_malicious,urlscan_community_malicious,urlscan_stats_malicious,whois_status,whois_registrar,whois_registration_date,whois_expiration_date,alienvault_verdict,alienvault_malicious,urlvoid_threat_level,urlvoid_detection_ratio,urlvoid_is_threat,vt_available,urlscan_available,whois_available,alienvault_available,urlvoid_available,timestamp
"0xminingpool.xyz","https://0xminingpool.xyz",3,"blacklist_match","blacklist_match","","mining",0,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-22T10:16:41.735Z"
"0xmining.xyz","https://0xmining.xyz",3,"blacklist_match","blacklist_match","","mining",0,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-22T10:16:42.522Z"
"0xsmartbank.com","https://0xsmartbank.com",3,"blacklist_match","blacklist_match","","bank",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-22T10:17:02.089Z"
"0xtesla.xyz","https://0xtesla.xyz",5,"medium_risk","enterprise_target","tesla","",0,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-22T10:17:02.885Z"
"0xunlock.xyz","https://0xunlock.xyz",3,"blacklist_match","blacklist_match","","unlock",0,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-22T10:17:03.676Z"
"0xupdates.xyz","https://0xupdates.xyz",3,"blacklist_match","blacklist_match","","update",0,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-22T10:17:04.470Z"
"0xvisa.xyz","https://0xvisa.xyz",5,"medium_risk","enterprise_target","visa","",0,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-22T10:17:05.266Z"
"1000bitcoinpage.com","https://1000bitcoinpage.com",4,"blacklist_match","blacklist_match","","bitcoin",0,1,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","false","false","false","true","2025-07-22T10:17:32.551Z"
"1000update.com","https://1000update.com",4,"blacklist_match","blacklist_match","","update",0,1,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-22T10:18:00.232Z"
"1000wallets.com","https://1000wallets.com",3,"blacklist_match","blacklist_match","","wallet",0,0,"false","false","false",0,"unknown","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-22T10:18:31.031Z"
"1001-insecure.xyz","https://1001-insecure.xyz",3,"blacklist_match","blacklist_match","","secure",0,0,"false","false","false",0,"inactive","","","","","false","SAFE",0,"false","true","true","false","false","true","2025-07-22T10:18:31.824Z"
