domain,url,risk_score,category,type,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,ip_address,country,timestamp
"campusvarbergplatsbank.se","https://campusvarbergplatsbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-03T13:17:57.882Z"
"u-wallet.sk","https://u-wallet.sk",3,"blacklist_match","blacklist_match","","wallet",0,0,"false","","","2025-07-03T13:18:14.702Z"
"salusbanken.se","https://salusbanken.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-03T13:18:30.995Z"
"festoolsawstopbordssagtks80.se","https://festoolsawstopbordssagtks80.se",5,"medium_risk","enterprise_target","aws","",0,0,"false","","","2025-07-03T13:18:48.538Z"
"esdesigninterior.se","https://esdesigninterior.se",3,"blacklist_match","blacklist_match","","signin",0,0,"false","","","2025-07-03T13:19:06.536Z"
"octave-intelligence.com.ee","https://octave-intelligence.com.ee",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-07-03T13:19:22.939Z"
"pawsinmotion.se","https://pawsinmotion.se",5,"medium_risk","enterprise_target","aws","",0,0,"false","","","2025-07-03T13:19:39.654Z"
"dinredovisare.se","https://dinredovisare.se",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-07-03T13:19:56.235Z"
"applemax.sk","https://applemax.sk",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-07-03T13:20:12.751Z"
"paypalworld.ee","https://paypalworld.ee",5,"medium_risk","enterprise_target","paypal","",0,0,"false","","","2025-07-03T13:20:29.314Z"
"viktbanken.se","https://viktbanken.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-03T13:20:45.913Z"
"profilmetall.se","https://profilmetall.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-03T13:21:03.042Z"
"metallinredning.se","https://metallinredning.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-03T13:21:19.678Z"
"salusbank.se","https://salusbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-03T13:21:36.117Z"
"agmetalart.se","https://agmetalart.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-03T13:21:52.604Z"
"aaintelligence.se","https://aaintelligence.se",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-07-03T13:22:09.063Z"
"jetbank.se","https://jetbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-03T13:22:25.437Z"
"securest.se","https://securest.se",3,"blacklist_match","blacklist_match","","secure",0,0,"false","","","2025-07-03T13:22:41.806Z"
"ns2.casinoinstantbanking.se","https://ns2.casinoinstantbanking.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-03T13:22:58.140Z"
"applee.ee","https://applee.ee",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-07-03T13:23:14.463Z"
"chasen.sk","https://chasen.sk",5,"medium_risk","enterprise_target","chase","",0,0,"false","","","2025-07-03T13:23:31.220Z"
"intelliors.ee","https://intelliors.ee",5,"medium_risk","enterprise_target","intel","",0,0,"false","","","2025-07-03T13:23:47.838Z"
"bankofeurope.se","https://bankofeurope.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-03T13:24:04.448Z"
"atlasbank.se","https://atlasbank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-03T13:24:21.146Z"
"seb-bank.se","https://seb-bank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-03T13:24:38.287Z"
"authenticdialogue.se","https://authenticdialogue.se",3,"blacklist_match","blacklist_match","","auth",0,0,"false","","","2025-07-03T13:24:55.314Z"
"visar.ee","https://visar.ee",5,"medium_risk","enterprise_target","visa","",0,0,"false","","","2025-07-03T13:25:11.596Z"
"ns1.casinomedapplepay.se","https://ns1.casinomedapplepay.se",5,"medium_risk","enterprise_target","apple","",0,0,"false","","","2025-07-03T13:25:27.938Z"
"gorillabank.se","https://gorillabank.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-03T13:25:44.268Z"
"metami.se","https://metami.se",5,"medium_risk","enterprise_target","meta","",0,0,"false","","","2025-07-03T13:26:00.860Z"
"ns1.casinoinstantbanking.se","https://ns1.casinoinstantbanking.se",3,"blacklist_match","blacklist_match","","bank",0,0,"false","","","2025-07-03T13:26:17.402Z"
