domain,url,risk_score,category,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,ip_address,country,timestamp
"ns1.casinomedapplepayutansvensklicens.se","https://ns1.casinomedapplepayutansvensklicens.se",5,"medium_risk","apple","",0,0,"false","","","2025-07-10T13:22:13.826Z"
"ns1.casinomedvisakort.se","https://ns1.casinomedvisakort.se",5,"medium_risk","visa","",0,0,"false","","","2025-07-10T13:22:30.428Z"
"teslapoprad.sk","https://teslapoprad.sk",5,"medium_risk","tesla","",0,0,"false","","","2025-07-10T13:22:46.677Z"
"ns1.casinomedpaypal.se","https://ns1.casinomedpaypal.se",5,"medium_risk","paypal","",0,0,"false","","","2025-07-10T13:23:02.963Z"
"ns2.casinomedapplepayutansvensklicens.se","https://ns2.casinomedapplepayutansvensklicens.se",5,"medium_risk","apple","",0,0,"false","","","2025-07-10T13:24:24.334Z"
"artificialsuperintelligence.se","https://artificialsuperintelligence.se",5,"medium_risk","intel","",0,0,"false","","","2025-07-10T13:24:56.835Z"
"ns2.casinomedvisakort.se","https://ns2.casinomedvisakort.se",5,"medium_risk","visa","",0,0,"false","","","2025-07-10T13:25:13.073Z"
"metamorfa.se","https://metamorfa.se",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T13:25:29.364Z"
"festoolsawstopbordssagtks80.se","https://festoolsawstopbordssagtks80.se",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T13:25:45.937Z"
"applemax.sk","https://applemax.sk",5,"medium_risk","apple","",0,0,"false","","","2025-07-10T13:26:18.451Z"
"0000apple.com","https://0000apple.com",5,"medium_risk","apple","",0,0,"false","","","2025-07-10T13:26:34.723Z"
"007gametada.com","https://007gametada.com",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T13:27:23.541Z"
"0532oracle.com","https://0532oracle.com",5,"medium_risk","oracle","",0,0,"false","","","2025-07-10T13:30:06.849Z"
"06-2024-q35ibm9u1u.com","https://06-2024-q35ibm9u1u.com",5,"medium_risk","ibm","",0,0,"false","","","2025-07-10T13:30:40.056Z"
"0meterchasers.com","https://0meterchasers.com",5,"medium_risk","chase","",0,0,"false","","","2025-07-10T13:31:12.723Z"
"1-win-bk-apple.click","https://1-win-bk-apple.click",5,"medium_risk","apple","",0,0,"false","","","2025-07-10T13:32:33.994Z"
"109visalia.com","https://109visalia.com",5,"medium_risk","visa","",0,0,"false","","","2025-07-10T13:34:12.395Z"
"10applegate.com","https://10applegate.com",5,"medium_risk","apple","",0,0,"false","","","2025-07-10T13:34:28.638Z"
"111metal.com","https://111metal.com",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T13:36:39.261Z"
"111visa.com","https://111visa.com",5,"medium_risk","visa","",0,0,"false","","","2025-07-10T13:36:55.560Z"
"11dawsonave.com","https://11dawsonave.com",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T13:38:33.298Z"
"11foxfirechase.com","https://11foxfirechase.com",5,"medium_risk","chase","",0,0,"false","","","2025-07-10T13:38:49.540Z"
"11paws.com","https://11paws.com",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T13:39:05.837Z"
"11pawstx.com","https://11pawstx.com",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T13:39:22.130Z"
"127intel.com","https://127intel.com",5,"medium_risk","intel","",0,0,"false","","","2025-07-10T13:41:16.089Z"
"12paws4hearts.com","https://12paws4hearts.com",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T13:41:48.604Z"
"13stripescrossfit.com","https://13stripescrossfit.com",5,"medium_risk","stripe","",0,0,"false","","","2025-07-10T13:42:53.982Z"
"145purchase.com","https://145purchase.com",5,"medium_risk","chase","",0,0,"false","","","2025-07-10T13:43:10.568Z"
"14metaverse.xyz","https://14metaverse.xyz",5,"medium_risk","meta","",0,0,"false","","","2025-07-10T13:43:27.186Z"
"1721azure.com","https://1721azure.com",5,"medium_risk","azure","",0,0,"false","","","2025-07-10T13:45:05.118Z"
"1capturestripe.org","https://1capturestripe.org",5,"medium_risk","stripe","",0,0,"false","","","2025-07-10T13:49:25.806Z"
"1hrintelligence.com","https://1hrintelligence.com",5,"medium_risk","intel","",0,0,"false","","","2025-07-10T13:50:47.649Z"
"1stvisa.com","https://1stvisa.com",5,"medium_risk","visa","",0,0,"false","","","2025-07-10T13:53:23.055Z"
"1superintelligence.com","https://1superintelligence.com",5,"medium_risk","intel","",0,0,"false","","","2025-07-10T13:53:39.295Z"
"1wibmh.top","https://1wibmh.top",5,"medium_risk","ibm","",0,0,"false","","","2025-07-10T13:53:55.941Z"
"1x-moremagicapple.com","https://1x-moremagicapple.com",5,"medium_risk","apple","",0,0,"false","","","2025-07-10T13:55:49.771Z"
"1xbetpaypal.click","https://1xbetpaypal.click",5,"medium_risk","paypal","",0,0,"false","","","2025-07-10T13:58:32.804Z"
"1zoracleprofiles.com","https://1zoracleprofiles.com",5,"medium_risk","oracle","",0,0,"false","","","2025-07-10T13:58:49.072Z"
"2025gcpsup.org","https://2025gcpsup.org",5,"medium_risk","gcp","",0,0,"false","","","2025-07-10T13:59:54.167Z"
"21lawsofstorytelling.com","https://21lawsofstorytelling.com",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T14:03:10.424Z"
"23andmeclassactionlawsuit.com","https://23andmeclassactionlawsuit.com",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T14:07:32.197Z"
"257saws.com","https://257saws.com",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T14:10:15.226Z"
"2guyswithsaws.com","https://2guyswithsaws.com",5,"medium_risk","aws","",0,0,"false","","","2025-07-10T14:14:20.034Z"
