domain,url,risk_score,category,type,brand,keywords,vt_malicious,vt_suspicious,urlscan_malicious,whois_status,whois_registrar,whois_registration_date,whois_expiration_date,ip_address,country,vt_available,urlscan_available,whois_available,timestamp
"0224140e-99fb-45b1-ad46-8de19bf962ac.vpn.azure.com","https://0224140e-99fb-45b1-ad46-8de19bf962ac.vpn.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","true","false","2025-07-07T11:54:20.728Z"
"02270069-3a42-4cfc-a996-9546b73e9f8b.vpn.azure.com","https://02270069-3a42-4cfc-a996-9546b73e9f8b.vpn.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","true","false","2025-07-07T11:54:21.513Z"
"0227779edc70488293d0898c01ac06a9.alb.azure.com","https://0227779edc70488293d0898c01ac06a9.alb.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","true","false","2025-07-07T11:54:22.303Z"
"0227779edc70488293d0898c01ac06a9-xds.alb.azure.com","https://0227779edc70488293d0898c01ac06a9-xds.alb.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","true","false","2025-07-07T11:54:23.092Z"
"0227.alb.azure.com","https://0227.alb.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","true","false","2025-07-07T11:54:23.876Z"
"0241153697173.southafricanorth.airflow.svc.datafactory.azure.com","https://0241153697173.southafricanorth.airflow.svc.datafactory.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","true","false","2025-07-07T11:54:24.664Z"
"0.242.109.208.host.secureserver.net","https://0.242.109.208.host.secureserver.net",3,"blacklist_match","blacklist_match","","secure",0,0,"false","unknown","","","","","","false","true","false","2025-07-07T11:54:25.459Z"
"025f8b11c25849afa0b3d45c380155c5.alb.azure.com","https://025f8b11c25849afa0b3d45c380155c5.alb.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","true","false","2025-07-07T11:54:26.244Z"
"025f8b11c25849afa0b3d45c380155c5-xds.alb.azure.com","https://025f8b11c25849afa0b3d45c380155c5-xds.alb.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","true","false","2025-07-07T11:54:27.029Z"
"025f.alb.azure.com","https://025f.alb.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","true","false","2025-07-07T11:54:27.817Z"
"02623540431741.japaneast.airflow.svc.datafactory.azure.com","https://02623540431741.japaneast.airflow.svc.datafactory.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","true","false","2025-07-07T11:54:28.633Z"
"028e1645691741.westus2.airflow.svc.datafactory.azure.com","https://028e1645691741.westus2.airflow.svc.datafactory.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","true","false","2025-07-07T11:54:29.421Z"
"0299.alb.azure.com","https://0299.alb.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","true","false","2025-07-07T11:54:30.207Z"
"0299cd1e2b234eada0b54bccc5240220.alb.azure.com","https://0299cd1e2b234eada0b54bccc5240220.alb.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","true","false","2025-07-07T11:54:31.011Z"
"0299cd1e2b234eada0b54bccc5240220-xds.alb.azure.com","https://0299cd1e2b234eada0b54bccc5240220-xds.alb.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","true","false","2025-07-07T11:54:31.838Z"
"029b1482c9dc4506a18d8f552c3e20c8.alb.azure.com","https://029b1482c9dc4506a18d8f552c3e20c8.alb.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","true","false","2025-07-07T11:54:32.623Z"
"029b1482c9dc4506a18d8f552c3e20c8-xds.alb.azure.com","https://029b1482c9dc4506a18d8f552c3e20c8-xds.alb.azure.com",5,"medium_risk","enterprise_target","azure","",0,0,"false","unknown","","","","","","false","true","false","2025-07-07T11:54:33.414Z"
